date,,平均,平均,合計,最大,,avg,max,min,平均,最小,平均,最大風速,,最大瞬間風速,,(h),降雪,最深積雪,昼,夜,place
2023/4/29,29,1006.9,1011.1,2.5,2,1,12.5,18.1,9.5,67,51,5.8,8.2,南南東,13,南,1.6,--,--,,,suttsu
2023/4/30,30,994.1,998.3,11.5,4,1,11.9,18,7.4,73,40,4.9,9.7,南南東,17.2,南,8.2,--,--,,,suttsu
2023/5/1,1,1004,1008.2,--,--,--,10,15.4,7.1,68,44,3.1,6.2,西北西,13,西,9.6,--,--,,,suttsu
2023/5/2,2,1015.7,1020,--,--,--,9.8,14.3,6.1,62,41,3,5.5,西北西,9.3,西北西,12.1,--,--,,,suttsu
2023/5/3,3,1014.5,1018.7,--,--,--,14.4,21.5,6,47,21,3.1,5.6,南南西,12.3,南,10.7,--,--,,,suttsu
2023/5/4,4,1008.5,1012.6,--,--,--,17.8,23.4,11,45,22,2,4.6,南南西,10.6,西,4.6,--,--,,,suttsu
2023/5/5,5,1005.7,1009.9,6.5,2.5,1,13.3,18.7,11.2,84,42,2.4,8.2,西南西,14.7,西南西,7.2,--,--,,,suttsu
2023/5/6,6,1003.8,1008.1,7.5,4,1,10.4,14.1,7.5,84,64,3.7,7.6,北西,12.4,北西,4,--,--,,,suttsu
2023/5/7,7,1010.6,1014.9,--,--,--,9.2,13.4,4.3,69,39,3.3,7,南南東,11.3,南南東,12,--,--,,,suttsu
2023/5/8,8,1007.9,1012.2,--,--,--,8.6,11.8,5.4,74,52,3.5,5.9,西北西,10.4,西北西,3.5,--,--,,,suttsu
2023/5/9,9,1007,1011.2,0,0,0,11,15.9,4.9,70,49,3.8,8,南南東,13.1,南南西,7.3,--,--,,,suttsu
2023/5/10,10,1010.9,1015.2,--,--,--,10.2,14.5,6.2,74,29,2.8,5.8,北北西,8.8,北北西,13.1,--,--,,,suttsu
2023/5/11,11,1016.4,1020.8,--,--,--,7.2,9.8,4.2,71,54,3.9,6.1,北北西,9.4,北北西,9.7,--,--,,,suttsu
2023/5/12,12,1016.8,1021.1,2.5,2,1,8.5,13.9,4.6,76,55,3.2,7.6,南東,11.1,南南東,5.4,--,--,,,suttsu
2023/5/13,13,1015.2,1019.5,--,--,--,11.9,19.1,4.4,62,31,3.7,8.1,南南東,14,南,9.1,--,--,,,suttsu
2023/5/14,14,1010.4,1014.6,0,0,0,14.3,21,10.2,67,39,6.9,9.4,南,15.3,南,10.3,--,--,,,suttsu
2023/5/15,15,1007.7,1011.9,0.5,0.5,0.5,12.7,15,11.7,89,82,6.1,8.4,南南東,13.7,南南東,0.1,--,--,,,suttsu
2023/5/16,16,1007.5,1011.6,--,--,--,13.6,19,11,86,66,7.2,10.4,南南東,15.7,南南東,9.5,--,--,,,suttsu
2023/5/17,17,1004.4,1008.6,--,--,--,13.7,20.3,10,84,63,5.7,11.8,南南東,18.5,南南東,11.1,--,--,,,suttsu
2023/5/18,18,1006.4,1010.6,--,--,--,15.9,23,11.8,80,56,3,9.8,西南西,14.4,西南西,9.4,--,--,,,suttsu
2023/5/19,19,1009.5,1013.7,--,--,--,14.2,19.2,11.3,79,43,2.8,6.5,南南東,9.8,南南東,10.2,--,--,,,suttsu
2023/5/20,20,1008.4,1012.6,--,--,--,13.2,18.7,10,78,54,7.5,11.7,南南東,18.7,南南東,10.9,--,--,,,suttsu
2023/5/21,21,1000.1,1004.3,9,5,1.5,11.2,15.5,9.6,92,81,6.7,12.4,南南東,20.2,南南東,1.4,--,--,,,suttsu
2023/5/22,22,1000.3,1004.5,--,--,--,10.8,16.3,7.5,84,61,2.9,6.5,北西,12.7,北西,4.1,--,--,,,suttsu
2023/5/23,23,1004.2,1008.5,--,--,--,10.3,13.9,6.6,74,55,3.7,7.1,北北西,11,北西,11.4,--,--,,,suttsu
2023/5/24,24,1008.7,1013,--,--,--,10.9,15,5,78,54,2.6,5.4,北西,8.4,北西,13.8,--,--,,,suttsu
2023/5/25,25,1015.3,1019.5,--,--,--,15.5,23.5,6.8,58,28,2.4,5.4,西南西,9.8,西,13.8,--,--,,,suttsu
2023/5/26,26,1015.7,1019.8,0.5,0.5,0.5,16.5,23.4,8.9,65,40,3.9,7.1,南東,11.2,南東,6.3,--,--,,,suttsu
2023/5/27,27,1014.7,1018.8,0,0,0,18.7,24.3,13.5,62,35,2.7,6.1,南南東,10.5,南西,11.6,--,--,,,suttsu
2023/5/28,28,1008.7,1012.9,4,1.5,0.5,16.1,18.7,14.1,85,56,3.7,7.4,南南東,11.8,南南東,0.2,--,--,,,suttsu
2023/5/29,29,1005.8,1010,0.5,1,0.5,13.4,15.1,10.5,92,83,2.5,4.8,北北西,7,北北西,0,--,--,,,suttsu
2023/5/30,30,1005.6,1009.8,0,0,0,11.1,13.7,7.9,80,65,2.9,5,北北西,8,北北西,3.2,--,--,,,suttsu
2023/5/31,31,1006.1,1010.3,--,--,--,12.8,17.6,6.6,75,51,2.7,5.8,西北西,9.5,北西,11.8,--,--,,,suttsu
2023/6/1,1,1003.3,1007.4,0,0,0,17.5,24.3,8.4,49,29,3.3,6.4,南南東,11.5,南東,10.9,--,--,,,suttsu
2023/6/2,2,995,999.1,17,6.5,1.5,17.4,21.2,14.2,73,49,3.8,6.4,南東,10.5,南南東,1.7,--,--,,,suttsu
2023/6/3,3,993.2,997.3,11.5,7.5,3.5,12.5,14.9,8.4,92,78,3.6,7.5,北北西,11.6,北北西,3.6,--,--,,,suttsu
2023/6/4,4,996.2,1000.4,1,1,0.5,11.9,17.3,8.4,85,73,3.5,6.5,南,12.5,西北西,1.3,--,--,,,suttsu
2023/6/5,5,1000.4,1004.5,0,0,0,14.7,19.1,9.1,76,55,2.3,5.2,西,10.1,西,4.2,--,--,,,suttsu
2023/6/6,6,1000.9,1005,0.5,0.5,0.5,17.7,21.7,13.1,74,61,5.2,9.8,南,15.4,南,4.6,--,--,,,suttsu
2023/6/7,7,1003,1007.1,5.5,4,3.5,15.8,18,12.5,88,69,3.9,9,南,14.7,南,2.8,--,--,,,suttsu
2023/6/8,8,1008.2,1012.4,--,--,--,16.9,22.1,11.8,83,61,3.3,9.6,南南東,14.8,南南東,13.6,--,--,,,suttsu
2023/6/9,9,1004,1008.1,8.5,1.5,0.5,16.3,18.7,14.1,90,75,8.2,11.6,南南東,19.8,南東,0,--,--,,,suttsu
2023/6/10,10,1007.3,1011.4,1,1,0.5,15.4,19.5,13.6,89,77,6.1,11.3,南南東,18.7,南南東,7.8,--,--,,,suttsu
